id,pos,flr,flg,eg,er,fg,op
455,1100,7100,6200,0.0013,0.0187793,0.5039,42.8571
456,789,6300,5100,0.0177,0.260317,2.67708,30.1887
457,96,512,3900,0.0836,2.68415,-1.07717,51.3761
458,25,485,2000,0.1998,6.41466,1.03849,0.0
459,7,209,233,1.0,35.4067,0.4403,28.125
460,174,4000,2900,0.2198,3.95556,0.442087,16.1074
461,4,71,224,1.0,50.0,0.7925,95.5357
462,11,168,212,0.41,13.1614,3.57143,0.0
463,6,214,278,1.0,37.6947,0.1695,29.2929
464,3,443,1400,0.7806,25.0564,1.39034,28.8732
465,10,245,144,0.7756,24.8979,0.534759,24.1379
466,162,972,1200,0.592,19.0043,2.4398,28.1804
467,19,397,318,0.6328,20.3141,1.99278,45.5645
468,37,1200,1382,0.7296,23.4213,1.6331,31.0208
469,51,626,1100,0.5574,17.8914,2.58792,48.5194
470,21,965,740,0.4927,15.816,3.11818,22.5694
471,11,1200,7500,0.4834,15.5167,7.45513,77.2846
472,4,258,1200,1.0,45.3488,3.05748,83.871
473,3,2700,1000,1.0,25.9012,0.759109,93.5508
474,53,752,2153,0.1929,6.1909,0.1436,32.7869
475,103,490,684,0.279,8.95692,10.0,23.7113
476,104,872,985,0.3446,11.0601,10.0,34.359
477,3,166,1100,0.7694,24.6988,-0.630429,59.6491
478,87,1500,3600,0.205,6.58148,1.30662,54.2714
479,87,1700,7500,0.0314,1.00654,0.7192,45.6522
480,142,681,705,0.1214,3.89566,0.484809,41.7476
481,40,404,398,0.3419,10.9736,1.96655,100.0
482,194,2600,1100,0.5113,9.20362,1.59236,41.7311
483,47,150,146,0.0796,2.55556,7.69889,42.8571
484,255,127,216,0.2657,8.53018,1.52625,0.0
